X,Y,Z
-30.88,19.29,"-24.96
"
-14.1,7.08,"-5.19
"
-1.89,-0.85,"8.97
"
-1.89,0.55,"13.43
"
-10.8,8.3,"4.70
"
-20.87,18.8,"-12.39
"
-33.69,29.36,"-28.81
"
-43.33,35.16,"-38.02
"
-39.98,35.83,"-35.77
"
-30.21,27.77,"-24.54
"
-13.06,13.55,"-6.65
"
6.35,-4.21,"13.31
"
23.01,-22.09,"28.50
"
29.72,-31.8,"32.71
"
25.02,-27.59,"26.86
"
17.15,-15.44,"15.38
"
9.83,-1.77,"4.33
"
-0.43,11.96,"-4.88
"
-6.47,16.91,"-10.38
"
-10.44,19.23,"-9.46
"
-13.24,21.42,"-5.25
"
-19.17,22.89,"0.06
"
-19.96,14.16,"8.18
"
-16.42,-1.53,"13.55
"
-10.25,-11.72,"12.27
"
-8.24,-14.77,"6.41
"
-13.92,-9.58,"-3.30
"
-20.75,1.4,"-14.28
"
-28.44,17.88,"-24.41
"
-38.33,40.71,"-30.70
"
-47.85,58.53,"-30.46
"
-45.53,61.16,"-21.42
"
-28.87,41.56,"-5.74
"
-1.16,2.93,"12.88
"
24.05,-39.92,"27.71
"
35.64,-67.63,"34.97
"
32.04,-71.17,"33.63
"
21.91,-55.79,"24.90
"
5.37,-29.72,"9.28
"
-20.81,5,"-11.35
"
-45.84,35.46,"-27.83
"
-57.56,47.18,"-31.13
"
-48.22,39.67,"-21.91
"
-26.86,25.57,"-4.46
"
-7.08,12.82,"14.71
"
9.46,5.8,"29.05
"
19.71,3.42,"34.00
"
21.42,4.58,"29.24
"
17.46,9.22,"19.10
"
7.2,17.52,"11.72
"
1.46,23.99,"10.19
"
0.24,20.14,"13.61
"
2.81,6.9,"19.10
"
1.77,-5.86,"22.83
"
-4.03,-13.37,"21.61
"
-7.87,-14.71,"13.73
"
-16.11,-13.92,"4.46
"
-15.69,-13.67,"-1.53
"
-8,-15.26,"-3.48
"
1.83,-16.24,"-3.30
"
6.47,-17.33,"-3.30
"
3.3,-16.24,"-5.25
"
-4.82,-10.31,"-9.34
"
-16.6,0.18,"-14.16
"
-24.96,11.35,"-18.31
"
-21.3,15.32,"-17.64
"
-4.64,9.46,"-11.29
"
10.68,0.06,"-4.76
"
17.76,-7.32,"-3.36
"
23.13,-18.01,"-4.09
"
22.95,-34,"-2.14
"
24.96,-50.6,"6.47
"
29.97,-59.63,"22.40
"
32.84,-57.86,"37.72
"
31.56,-45.1,"45.72
"
27.59,-25.94,"44.62
"
19.17,-7.45,"32.23
"
0,2.62,"11.60
"
-14.22,3.6,"-8.12
"
-17.03,-2.62,"-17.52
"
-12.27,-11.84,"-12.70
"
-1.77,-16.85,"0.79
"
6.53,-11.78,"16.05
"
10.62,0.12,"26.73
"
7.51,12.94,"28.02
"
1.1,19.65,"20.14
"
-2.32,16.66,"7.75
"
-6.71,6.84,"-2.69
"
-7.57,-1.4,"-7.08
"
-7.81,-4.88,"-5.37
"
-7.02,-6.96,"1.16
"
-1.46,-11.47,"10.13
"
4.88,-16.17,"18.92
"
8.42,-18.55,"25.15
"
8.3,-19.65,"28.38
"
6.77,-20.39,"27.89
"
4.15,-20.02,"24.66
"
1.83,-18.31,"20.69
"
0.43,-14.95,"17.09
"
-0.79,-9.03,"13.49
"
-0.85,-1.34,"9.46
"
0.55,4.88,"6.16
"
-0.49,6.84,"2.75
"
-2.32,6.84,"-2.01
"
-5.13,5.92,"-6.29
"
-6.04,3.54,"-8.54
"
-5.07,1.22,"-9.03
"
-4.03,0.37,"-8.12
"
-2.14,-1.53,"-5.37
"
0.55,-5.49,"-1.83
"
3.85,-10.31,"2.20
"
6.77,-13.79,"5.19
"
7.87,-13.06,"6.47
"
5.49,-7.75,"7.26
"
2.14,-3.05,"5.80
"
-2.14,-2.14,"2.93
"
-4.82,-4.33,"0.85
"
-5.25,-6.47,"0.79
"
-2.93,-5.62,"2.75
"
-1.16,-1.53,"5.49
"
1.16,2.14,"8.06
"
3.66,3.72,"9.64
"
6.29,2.62,"10.19
"
8.67,0.12,"9.83
"
10.31,-2.08,"8.36
"
10.13,-2.01,"5.25
"
7.45,0.37,"1.89
"
5.62,3.17,"0.49
"
6.35,3.85,"1.40
"
8.06,0.43,"3.72
"
11.41,-4.7,"7.20
"
15.2,-8.67,"11.05
"
17.52,-10.44,"12.94
"
19.04,-9.28,"11.72
"
20.2,-6.04,"7.39
"
19.65,-1.71,"0.92
"
14.4,0.49,"-5.55
"
10.13,-1.59,"-10.80
"
9.89,-8.48,"-11.84
"
14.95,-17.4,"-6.65
"
23.01,-21.12,"1.77
"
28.99,-17.03,"9.70
"
31.8,-8,"13.18
"
30.46,3.23,"11.96
"
25.15,15.32,"6.90
"
13.61,25.15,"-0.55
"
2.87,26.43,"-5.92
"
0.55,18.74,"-6.23
"
4.09,8.79,"-1.89
"
9.7,4.15,"5.13
"
16.24,5.37,"12.02
"
22.16,10.74,"16.30
"
23.32,17.4,"15.38
"
17.09,21.18,"12.15
"
10.38,18.25,"11.05
"
9.95,9.09,"15.63
"
16.54,-1.4,"23.07
"
26.25,-9.83,"30.70
"
38.64,-12.63,"33.57
"
43.7,-7.39,"30.21
"
40.53,3.11,"21.06
"
34.67,15.01,"7.57
"
26,19.04,"-5.13
"
22.28,10.38,"-13.43
"
26.25,2.56,"-17.27
"
23.01,2.93,"-13.79
"
33.39,12.94,"-4.88
"
40.41,25.88,"1.83
"
41.02,33.08,"2.44
"
41.38,27.28,"1.83
"
47.18,10.86,"4.88
"
56.27,-6.1,"10.50
"
62.99,-15.08,"13.98
"
63.66,-14.1,"12.51
"
56.52,-6.65,"8.54
"
47.55,2.2,"5.37
"
36.32,7.45,"1.83
"
26.61,7.39,"-2.62
"
19.84,5.13,"-5.43
"
20.08,5.19,"-6.16
"
22.64,7.69,"-6.04
"
28.38,8.79,"-3.97
"
37.96,4.76,"0.24
"
50.6,0.37,"6.41
"
43.46,-10.8,"9.46
"
45.53,-21.42,"11.29
"
44.07,-24.35,"11.11
"
36.32,-17.52,"8.36
"
25.82,-3.85,"3.85
"
12.63,10.19,"-1.71
"
6.29,18.98,"-7.26
"
1.22,22.34,"-12.51
"
-1.28,17.64,"-15.14
"
3.91,8.12,"-14.59
"
10.99,-4.39,"-10.44
"
